车牌号,运营状态,GPS速度,行驶方向,卫星定位时间,经度,纬度,海拔高度
VEHICLE_PLATE_NUMBER,GPS_SPEED,DRIVING_DIRECTION,GPS_DATE,LONGITUDE,LATITUDE,RUNNING_STATUS,HIT_ALTITUDE
R290,14.5,184,2020/1/7 23:59,118.135775,24.494043,2,
R916,0,358,2020/1/7 23:59,118.133406,24.529838,2,
R083,71.8,190,2020/1/7 23:59,118.115323,24.478558,2,
H219,45.5,303,2020/1/7 23:59,118.100412,24.526227,2,
L670,0,271,2020/1/7 23:59,118.107015,24.477186,2,
26788,77.3,64,2020/1/7 23:59,118.168047,24.507748,1,
H875,0.4,41,2020/1/7 23:59,118.151285,24.527555,1,
32097,18.5,191,2020/1/7 23:59,118.021876,24.573675,1,
39093,0,0,2020/1/7 23:59,118.052106,24.63361,1,
K660,10.5,91,2020/1/7 23:59,118.232278,24.570362,2,
K502,0,0,2020/1/7 23:59,118.166498,24.482498,1,
29179,0,274,2020/1/7 23:59,118.137423,24.480267,1,
31511,61.1,5,2020/1/7 23:59,118.123961,24.527981,1,
E818,0,101,2020/1/7 23:59,118.039437,24.491107,1,
H018,0,323,2020/1/7 23:59,118.147447,24.546235,1,
H655,5.7,158,2020/1/7 23:59,118.144437,24.546618,1,
H586,0.1,148,2020/1/7 23:59,118.152497,24.522585,1,
H732,70.3,180,2020/1/7 23:59,118.13243,24.508556,2,
R392,0,282,2020/1/7 23:59,118.149706,24.739366,1,
28781,0,302,2020/1/7 23:59,118.182145,24.473748,1,
N169,43.8,294,2020/1/7 23:59,118.067211,24.631273,2,
37575,16.6,230,2020/1/7 23:59,118.0869,24.469048,1,
Q179,24,358,2020/1/7 23:59,118.189365,24.479426,1,
12976,62.2,256,2020/1/7 23:59,118.089748,24.4667,2,
22009,54.9,268,2020/1/7 23:59,118.096013,24.514185,2,
N076,54.3,282,2020/1/7 23:59,118.058853,24.57278,2,
R182,27.4,268,2020/1/7 23:59,118.097688,24.47148,2,
P350,36.6,252,2020/1/7 23:59,118.092121,24.467058,2,
N185,62.2,328,2020/1/7 23:59,118.102575,24.483628,2,
13291,0,116,2020/1/7 23:59,118.115793,24.481858,1,
Q897,4.6,14,2020/1/7 23:59,118.14785,24.545318,1,
N732,33,92,2020/1/7 23:59,118.117768,24.485216,1,
R919,0,108,2020/1/7 23:59,118.181268,24.482871,2,
N879,9.7,284,2020/1/7 23:59,118.091378,24.483816,1,
30976,0,0,2020/1/7 23:59,118.144491,24.547031,1,
37965,43.2,70,2020/1/7 23:59,118.084213,24.468105,1,
K771,1.8,124,2020/1/7 23:59,118.136121,24.511613,1,
